scan_name,scan_folder,analysis_y_reduction,y_reduction_mode,y_band_half_height,ndvi_mask_threshold,white_reference,dark_reference,mask_pixel_count,mask_coverage_pct,pri_valid_pixel_count,pri_mean,pri_median,pri_std,cri1_valid_pixel_count,cri1_mean,cri1_median,cri1_std,cri2_valid_pixel_count,cri2_mean,cri2_median,cri2_std,ndvi_valid_pixel_count,ndvi_mean,ndvi_median,ndvi_std,sipi_valid_pixel_count,sipi_mean,sipi_median,sipi_std,psri_valid_pixel_count,psri_mean,psri_median,psri_std
scan_22May_10:46:38,/Users/hannahalse/Desktop/KFHSI/edge/data/Experiment3/day1/scan_22May_10:46:38,mean over y=257:298,central_band_mean,20,0.35,whiteReference,darkReference,142,6.567992599444958,142,0.09646036475896835,0.10263514518737793,0.04387494549155235,142,3.702022075653076,3.444681167602539,1.858305811882019,142,4.806826591491699,4.366396427154541,2.6441426277160645,142,0.7687869071960449,0.8212480545043945,0.15086358785629272,142,1.149328589439392,1.109386682510376,0.21429488062858582,142,-0.02580868825316429,-0.03210939094424248,0.03140183538198471
scan_23May_08:48:39,/Users/hannahalse/Desktop/KFHSI/edge/data/Experiment3/day2/scan_23May_08:48:39,mean over y=257:298,central_band_mean,20,0.35,whiteReference,darkReference,152,7.030527289546716,152,0.09495454281568527,0.10134884715080261,0.05563882365822792,152,5.055556297302246,4.592859268188477,2.6021065711975098,152,6.173306941986084,5.631533622741699,3.1416656970977783,152,0.8003893494606018,0.8356096148490906,0.14944621920585632,152,1.1418651342391968,1.0981539487838745,0.1898297369480133,152,-0.008101537823677063,-0.016412215307354927,0.033142346888780594
scan_24May_09:06:05,/Users/hannahalse/Desktop/KFHSI/edge/data/Experiment3/day3/scan_24May_09:06:05,mean over y=257:298,central_band_mean,20,0.35,whiteReference,darkReference,213,9.851988899167438,213,0.12298622727394104,0.1334477812051773,0.049945734441280365,213,4.001212120056152,3.709700345993042,1.9568201303482056,213,5.373126029968262,5.046807765960693,2.5254745483398438,213,0.8165611028671265,0.8728337287902832,0.15033578872680664,213,1.1643821001052856,1.1036638021469116,0.20844341814517975,213,-0.014298313297331333,-0.02153153531253338,0.026285909116268158
scan_25May_08:47:32,/Users/hannahalse/Desktop/KFHSI/edge/data/Experiment3/day4/scan_25May_08:47:32,mean over y=257:298,central_band_mean,20,0.35,whiteReference,darkReference,267,12.349676225716928,267,0.13437117636203766,0.14591479301452637,0.05443069338798523,267,2.932211399078369,2.682826042175293,1.449782133102417,267,4.429937362670898,4.2088398933410645,2.057241678237915,267,0.8229183554649353,0.8700506687164307,0.13884525001049042,267,1.1958130598068237,1.136619210243225,0.20361365377902985,267,-0.014282911084592342,-0.021640028804540634,0.02574077434837818
scan_26May_08:33:02,/Users/hannahalse/Desktop/KFHSI/edge/data/Experiment3/day5/scan_26May_08:33:02,mean over y=257:298,central_band_mean,20,0.35,whiteReference,darkReference,248,11.47086031452359,248,0.17689351737499237,0.185455322265625,0.05590002238750458,248,3.8671035766601562,3.3326239585876465,2.244572877883911,248,5.928342819213867,5.240988731384277,3.084440231323242,248,0.8548629283905029,0.9027320146560669,0.12884795665740967,248,1.1308228969573975,1.0934436321258545,0.12590669095516205,248,-0.01989486999809742,-0.020776860415935516,0.025710055604577065
scan_27May_07:52:31,/Users/hannahalse/Desktop/KFHSI/edge/data/Experiment3/day6/scan_27May_07:52:31,mean over y=257:298,central_band_mean,20,0.35,whiteReference,darkReference,404,18.68640148011101,404,0.15138709545135498,0.16086550056934357,0.04424845427274704,403,3.4907069206237793,3.157517671585083,1.8377807140350342,403,5.218407154083252,4.838797092437744,2.5243430137634277,404,0.870556116104126,0.9108436703681946,0.11763083934783936,403,1.1230937242507935,1.1144734621047974,0.12738440930843353,404,-0.008322513662278652,-0.01148025318980217,0.026538493111729622
scan_28May_08:28:09,/Users/hannahalse/Desktop/KFHSI/edge/data/Experiment3/day7/scan_28May_08:28:09,mean over y=257:298,central_band_mean,20,0.35,whiteReference,darkReference,502,23.219241443108235,502,0.15705366432666779,0.16670945286750793,0.048359017819166183,500,3.1462764739990234,2.493417501449585,2.2410104274749756,500,4.7797160148620605,3.8831725120544434,2.967015027999878,502,0.8864127397537231,0.9211351275444031,0.1040828749537468,500,1.145385503768921,1.1201286315917969,0.12468025088310242,502,-0.013590690679848194,-0.016199033707380295,0.02104286104440689
scan_29May_08:25:38,/Users/hannahalse/Desktop/KFHSI/edge/data/Experiment3/day8/scan_29May_08:25:38,mean over y=257:298,central_band_mean,20,0.35,whiteReference,darkReference,646,29.879740980573544,646,0.15812338888645172,0.1690376102924347,0.051205504685640335,646,2.969243288040161,2.3734488487243652,2.248872756958008,646,4.606184005737305,3.8655054569244385,3.0635976791381836,646,0.8808466196060181,0.9225849509239197,0.11195971071720123,646,1.142425775527954,1.116600751876831,0.15352492034435272,645,-0.016943752765655518,-0.019124310463666916,0.02153916098177433
scan_30May_09:18:59,/Users/hannahalse/Desktop/KFHSI/edge/data/Experiment3/day9/scan_30May_09:18:59,mean over y=257:298,central_band_mean,20,0.35,whiteReference,darkReference,746,34.505087881591116,746,0.16946429014205933,0.17584125697612762,0.04829493165016174,745,2.8866183757781982,2.2537498474121094,2.2628800868988037,745,4.679953098297119,3.8110697269439697,3.2150473594665527,746,0.9019985795021057,0.9305992126464844,0.09232442826032639,745,1.1385118961334229,1.1141201257705688,0.1690499484539032,745,-0.017508992925286293,-0.01829315535724163,0.02202726900577545
scan_31May_07:02:27,/Users/hannahalse/Desktop/KFHSI/edge/data/Experiment3/day10/scan_31May_07:02:27,mean over y=257:298,central_band_mean,20,0.35,whiteReference,darkReference,940,43.47826086956522,940,0.17676633596420288,0.1829189658164978,0.04634740576148033,940,2.8793857097625732,2.253312587738037,2.25373911857605,940,4.719234943389893,3.878192663192749,3.2057716846466064,940,0.9106045961380005,0.9370958805084229,0.08526060730218887,938,1.1143790483474731,1.1085501909255981,0.08469987660646439,936,-0.020698264241218567,-0.020414013415575027,0.01950075477361679
