scan_name,scan_folder,analysis_y_reduction,y_reduction_mode,y_band_half_height,ndvi_mask_threshold,white_reference,dark_reference,mask_pixel_count,mask_coverage_pct,pri_valid_pixel_count,pri_mean,pri_median,pri_std,cri1_valid_pixel_count,cri1_mean,cri1_median,cri1_std,cri2_valid_pixel_count,cri2_mean,cri2_median,cri2_std,ndvi_valid_pixel_count,ndvi_mean,ndvi_median,ndvi_std,sipi_valid_pixel_count,sipi_mean,sipi_median,sipi_std,psri_valid_pixel_count,psri_mean,psri_median,psri_std
scan_22May_11:56:08,/Users/hannahalse/Desktop/KFHSI/edge/data/Experiment3/day1/scan_22May_11:56:08,mean over y=257:298,central_band_mean,20,0.35,whiteReference,darkReference,179,8.279370952821461,179,0.11493648588657379,0.11832693964242935,0.045306503772735596,179,3.9452857971191406,3.379166841506958,2.2582058906555176,179,5.248633861541748,4.473100662231445,3.049041986465454,179,0.8046135902404785,0.8439180254936218,0.13131524622440338,179,1.1116979122161865,1.0723950862884521,0.1420499086380005,179,-0.02496522292494774,-0.027791282162070274,0.02753065526485443
scan_23May_09:36:43,/Users/hannahalse/Desktop/KFHSI/edge/data/Experiment3/day2/scan_23May_09:36:43,mean over y=257:298,central_band_mean,20,0.35,whiteReference,darkReference,188,8.695652173913043,188,0.12061836570501328,0.12489864975214005,0.03827742859721184,188,4.024022579193115,3.439136505126953,2.236703872680664,188,5.381382465362549,4.72964334487915,2.9056570529937744,188,0.8192538619041443,0.8531087040901184,0.12388554215431213,188,1.1146905422210693,1.0781738758087158,0.20624205470085144,188,-0.019761595875024796,-0.025566499680280685,0.027656331658363342
scan_24May_09:55:29,/Users/hannahalse/Desktop/KFHSI/edge/data/Experiment3/day3/scan_24May_09:55:29,mean over y=257:298,central_band_mean,20,0.35,whiteReference,darkReference,238,11.00832562442183,238,0.13769178092479706,0.14567190408706665,0.039764516055583954,238,2.878680944442749,2.4800233840942383,1.5385233163833618,238,4.4071221351623535,3.8930530548095703,2.2536356449127197,238,0.8239490985870361,0.8675044775009155,0.12171582132577896,238,1.1128581762313843,1.0833511352539062,0.14867357909679413,238,-0.02387814037501812,-0.026552200317382812,0.02534465678036213
scan_25May_09:37:45,/Users/hannahalse/Desktop/KFHSI/edge/data/Experiment3/day4/scan_25May_09:37:45,mean over y=257:298,central_band_mean,20,0.35,whiteReference,darkReference,289,13.367252543940795,289,0.14125686883926392,0.15138332545757294,0.03999179229140282,289,2.7184672355651855,2.347982168197632,1.595750331878662,289,4.319657802581787,3.8674278259277344,2.3085482120513916,289,0.8343571424484253,0.8710413575172424,0.1138807013630867,289,1.127759337425232,1.1000256538391113,0.15141969919204712,289,-0.017932238057255745,-0.02133079431951046,0.023898839950561523
scan_26May_09:22:06,/Users/hannahalse/Desktop/KFHSI/edge/data/Experiment3/day5/scan_26May_09:22:06,mean over y=257:298,central_band_mean,20,0.35,whiteReference,darkReference,294,13.598519888991675,294,0.14217542111873627,0.14594948291778564,0.04506677761673927,294,2.476210594177246,2.0023193359375,1.807327151298523,294,3.957277774810791,3.37263822555542,2.5728917121887207,294,0.8033037185668945,0.8428181409835815,0.13410426676273346,294,1.1833938360214233,1.149219036102295,0.24070362746715546,294,-0.03089463710784912,-0.03564899414777756,0.028437474742531776
scan_27May_08:42:56,/Users/hannahalse/Desktop/KFHSI/edge/data/Experiment3/day6/scan_27May_08:42:56,mean over y=257:298,central_band_mean,20,0.35,whiteReference,darkReference,439,20.30527289546716,439,0.1446819305419922,0.1519322544336319,0.04085557535290718,439,2.896305799484253,2.5583720207214355,1.7103713750839233,439,4.449452877044678,3.8987765312194824,2.4218924045562744,439,0.8601426482200623,0.8967956900596619,0.11504726856946945,439,1.1436816453933716,1.1250944137573242,0.15054704248905182,439,-0.008571322076022625,-0.01279409322887659,0.023421945050358772
scan_28May_09:16:46,/Users/hannahalse/Desktop/KFHSI/edge/data/Experiment3/day7/scan_28May_09:16:46,mean over y=257:298,central_band_mean,20,0.35,whiteReference,darkReference,563,26.040703052728954,563,0.14853084087371826,0.15677392482757568,0.041932400315999985,563,2.448211908340454,2.112877368927002,1.4859246015548706,563,3.9506967067718506,3.5271482467651367,2.138051748275757,563,0.8605602383613586,0.8997286558151245,0.10767126083374023,563,1.122815728187561,1.1186574697494507,0.10466912388801575,562,-0.014674801379442215,-0.01765090599656105,0.02155834250152111
scan_29May_09:24:40,/Users/hannahalse/Desktop/KFHSI/edge/data/Experiment3/day8/scan_29May_09:24:40,mean over y=257:298,central_band_mean,20,0.35,whiteReference,darkReference,722,33.3950046253469,722,0.1553925722837448,0.16349351406097412,0.04111379384994507,722,2.387666940689087,2.082062244415283,1.5656676292419434,722,3.961069345474243,3.604487895965576,2.2470691204071045,722,0.8737552762031555,0.9101272225379944,0.10638567805290222,722,1.1180568933486938,1.1144827604293823,0.1107320562005043,722,-0.017316237092018127,-0.018743444234132767,0.01900072582066059
scan_30May_10:27:51,/Users/hannahalse/Desktop/KFHSI/edge/data/Experiment3/day9/scan_30May_10:27:51,mean over y=257:298,central_band_mean,20,0.35,whiteReference,darkReference,913,42.22941720629047,913,0.1620490700006485,0.1676393300294876,0.03533153608441353,913,1.9356279373168945,1.75103759765625,1.0269221067428589,913,3.514622688293457,3.1919708251953125,1.618614673614502,913,0.8767954707145691,0.9069707989692688,0.0893399566411972,912,1.1094746589660645,1.1055350303649902,0.06326103210449219,912,-0.024735689163208008,-0.022590823471546173,0.019664963707327843
scan_31May_07:55:26,/Users/hannahalse/Desktop/KFHSI/edge/data/Experiment3/day10/scan_31May_07:55:26,mean over y=257:298,central_band_mean,20,0.35,whiteReference,darkReference,1056,48.84366327474561,1056,0.1694997400045395,0.17379942536354065,0.03670257702469826,1054,1.9787592887878418,1.7374687194824219,1.3643767833709717,1055,3.7358415126800537,3.3341422080993652,2.2160580158233643,1056,0.8869298100471497,0.9130116701126099,0.08549657464027405,1054,1.1120762825012207,1.1081359386444092,0.10482152551412582,1056,-0.02410900592803955,-0.023382794111967087,0.017243441194295883
scan_01June_08:38:00,/Users/hannahalse/Desktop/KFHSI/edge/data/Experiment3/day11/scan_01June_08:38:00,mean over y=257:298,central_band_mean,20,0.35,whiteReference,darkReference,1250,57.816836262719704,1250,0.17930378019809723,0.18524402379989624,0.04093417897820473,1246,1.7736616134643555,1.5186271667480469,1.2450186014175415,1245,3.6930651664733887,3.2408931255340576,2.186136245727539,1250,0.8917173743247986,0.9209217429161072,0.08912748843431473,1248,1.1322247982025146,1.121583104133606,0.12641383707523346,1245,-0.02120298333466053,-0.02050407975912094,0.021513499319553375
scan_03June_10:16:38,/Users/hannahalse/Desktop/KFHSI/edge/data/Experiment3/day13/scan_03June_10:16:38,mean over y=257:298,central_band_mean,20,0.35,whiteReference,darkReference,1286,59.48196114708603,1286,0.18381159007549286,0.18911093473434448,0.047952745109796524,1284,1.646675705909729,1.3268628120422363,1.3432623147964478,1283,3.6218693256378174,3.166188955307007,2.2684428691864014,1286,0.9016018509864807,0.9264746904373169,0.08089573681354523,1284,1.1239001750946045,1.1205817461013794,0.07253191620111465,1276,-0.019678689539432526,-0.01790551096200943,0.0195431187748909
scan_04June_09:58:07,/Users/hannahalse/Desktop/KFHSI/edge/data/Experiment3/day14/scan_04June_09:58:07,mean over y=257:298,central_band_mean,20,0.35,whiteReference,darkReference,1290,59.66697502312673,1290,0.1893797665834427,0.19287753105163574,0.04311628267168999,1288,1.2922589778900146,1.00263249874115,1.4093981981277466,1289,3.4879260063171387,2.9773147106170654,2.4487152099609375,1290,0.8965049982070923,0.9212597608566284,0.08408775180578232,1289,1.1445561647415161,1.1404001712799072,0.07514879107475281,1282,-0.017332827672362328,-0.014152836054563522,0.02485153265297413
scan_06June_13:52:35,/Users/hannahalse/Desktop/KFHSI/edge/data/Experiment3/day16/scan_06June_13:52:35,mean over y=257:298,central_band_mean,20,0.35,whiteReference,darkReference,1089,50.370027752081405,1089,0.18896424770355225,0.19121283292770386,0.04143664985895157,1089,1.1746649742126465,0.9393083453178406,0.9909414052963257,1089,3.510432720184326,3.02097225189209,2.2165780067443848,1089,0.9018441438674927,0.9240419864654541,0.08026280254125595,1089,1.1271450519561768,1.1214488744735718,0.06533260643482208,1078,-0.017759177833795547,-0.016935722902417183,0.02402620203793049
