scan_name,scan_folder,analysis_y_reduction,y_reduction_mode,y_band_half_height,ndvi_mask_threshold,white_reference,dark_reference,mask_pixel_count,mask_coverage_pct,pri_valid_pixel_count,pri_mean,pri_median,pri_std,cri1_valid_pixel_count,cri1_mean,cri1_median,cri1_std,cri2_valid_pixel_count,cri2_mean,cri2_median,cri2_std,ndvi_valid_pixel_count,ndvi_mean,ndvi_median,ndvi_std,sipi_valid_pixel_count,sipi_mean,sipi_median,sipi_std,psri_valid_pixel_count,psri_mean,psri_median,psri_std
scan_22May_13:45:54,/Users/hannahalse/Desktop/KFHSI/edge/data/Experiment3/day1/scan_22May_13:45:54,mean over y=257:298,central_band_mean,20,0.35,whiteReference,darkReference,139,6.429232192414431,139,0.09727388620376587,0.10562826693058014,0.042520713061094284,139,4.379613399505615,4.130843162536621,1.6479414701461792,139,5.488185882568359,5.221399307250977,2.0299131870269775,139,0.7829166650772095,0.8354054689407349,0.14394885301589966,139,1.1176944971084595,1.0835331678390503,0.21207548677921295,139,-0.020968042314052582,-0.029179204255342484,0.03666438162326813
scan_23May_17:03:57,/Users/hannahalse/Desktop/KFHSI/edge/data/Experiment3/day2/scan_23May_17:03:57,mean over y=257:298,central_band_mean,20,0.35,whiteReference,darkReference,182,8.418131359851989,182,0.12522855401039124,0.12901419401168823,0.04950373247265816,182,4.714120864868164,3.86116886138916,2.8603405952453613,182,6.195815563201904,5.241893768310547,3.6479995250701904,182,0.8306584358215332,0.8834691047668457,0.14543583989143372,182,1.1508347988128662,1.0858728885650635,0.20888133347034454,182,-0.02690790966153145,-0.030222173780202866,0.03214583173394203
scan_24May_17:03:02,/Users/hannahalse/Desktop/KFHSI/edge/data/Experiment3/day3/scan_24May_17:03:02,mean over y=257:298,central_band_mean,20,0.35,whiteReference,darkReference,199,9.204440333024976,199,0.16122256219387054,0.1717083603143692,0.05468352511525154,199,3.9147157669067383,3.7134432792663574,1.7925676107406616,199,5.968135356903076,5.842704772949219,2.5888726711273193,199,0.8404131531715393,0.8924047946929932,0.14205259084701538,199,1.157431721687317,1.0794343948364258,0.31609442830085754,199,-0.019820628687739372,-0.024272680282592773,0.026877526193857193
scan_25May_11:52:32,/Users/hannahalse/Desktop/KFHSI/edge/data/Experiment3/day4/scan_25May_11:52:32,mean over y=257:298,central_band_mean,20,0.35,whiteReference,darkReference,319,14.75485661424607,319,0.16318441927433014,0.17251917719841003,0.04959641396999359,318,3.252948045730591,2.773688793182373,2.0455381870269775,318,5.194573402404785,4.625879287719727,3.012592315673828,319,0.849129319190979,0.8877506256103516,0.12298092991113663,319,1.1461292505264282,1.116782546043396,0.16578736901283264,319,-0.029211247339844704,-0.03155004233121872,0.026147805154323578
scan_26May_11:15:48,/Users/hannahalse/Desktop/KFHSI/edge/data/Experiment3/day5/scan_26May_11:15:48,mean over y=257:298,central_band_mean,20,0.35,whiteReference,darkReference,358,16.558741905642922,358,0.14478565752506256,0.15450799465179443,0.04012399539351463,357,2.7142083644866943,2.4077823162078857,1.4418692588806152,357,4.3809967041015625,3.9616599082946777,2.1975576877593994,358,0.8494219183921814,0.8901413679122925,0.11051291972398758,358,1.1269237995147705,1.1152563095092773,0.11651932448148727,358,-0.012930938974022865,-0.017444487661123276,0.021706800907850266
scan_27May_10:32:01,/Users/hannahalse/Desktop/KFHSI/edge/data/Experiment3/day6/scan_27May_10:32:01,mean over y=257:298,central_band_mean,20,0.35,whiteReference,darkReference,349,16.14246068455134,349,0.16724525392055511,0.17586283385753632,0.050798047333955765,349,2.662782669067383,2.1594700813293457,1.654434084892273,349,4.505777835845947,3.851167678833008,2.5287468433380127,349,0.8461294770240784,0.8809232711791992,0.1136765331029892,349,1.1489812135696411,1.1049551963806152,0.16321562230587006,349,-0.03370094671845436,-0.03294556587934494,0.023915110155940056
scan_28May_11:13:06,/Users/hannahalse/Desktop/KFHSI/edge/data/Experiment3/day7/scan_28May_11:13:06,mean over y=257:298,central_band_mean,20,0.35,whiteReference,darkReference,443,20.49028677150786,443,0.17250286042690277,0.1818116307258606,0.05262840911746025,443,2.733430862426758,2.4651310443878174,1.3278263807296753,442,4.605231285095215,4.330955505371094,2.042128801345825,443,0.8503824472427368,0.8948097229003906,0.12719064950942993,443,1.1252461671829224,1.0889825820922852,0.1420150101184845,443,-0.03411980718374252,-0.033689580857753754,0.02948620356619358
scan_29May_11:37:13,/Users/hannahalse/Desktop/KFHSI/edge/data/Experiment3/day8/scan_29May_11:37:13,mean over y=257:298,central_band_mean,20,0.35,whiteReference,darkReference,460,21.27659574468085,460,0.1921733021736145,0.19961753487586975,0.04946236312389374,460,3.0512337684631348,2.7985565662384033,1.5740704536437988,460,5.342519760131836,5.001944541931152,2.500166893005371,460,0.8788542151451111,0.9146240949630737,0.10812689363956451,460,1.1034666299819946,1.0785391330718994,0.12215552479028702,459,-0.0269628893584013,-0.028003573417663574,0.02184084802865982
scan_30May_12:19:01,/Users/hannahalse/Desktop/KFHSI/edge/data/Experiment3/day9/scan_30May_12:19:01,mean over y=257:298,central_band_mean,20,0.35,whiteReference,darkReference,574,26.549491211840888,574,0.18872696161270142,0.19863252341747284,0.05013759434223175,573,2.1320457458496094,1.8978219032287598,1.3199949264526367,572,4.168761253356934,3.8204221725463867,2.2232019901275635,574,0.8556716442108154,0.9021761417388916,0.11780846863985062,574,1.0940381288528442,1.0762147903442383,0.13474728167057037,572,-0.03580274432897568,-0.031518228352069855,0.027758872136473656
scan_31May_10:00:49,/Users/hannahalse/Desktop/KFHSI/edge/data/Experiment3/day10/scan_31May_10:00:49,mean over y=257:298,central_band_mean,20,0.35,whiteReference,darkReference,639,29.555966697502313,639,0.20007121562957764,0.20959991216659546,0.05232547968626022,637,2.239879608154297,1.9326456785202026,1.3664252758026123,637,4.651944160461426,4.12745475769043,2.4315450191497803,639,0.8742418885231018,0.914036750793457,0.11276175081729889,638,1.0903323888778687,1.079411268234253,0.11126617342233658,634,-0.027658483013510704,-0.025991316884756088,0.026850804686546326
scan_01June_10:28:04,/Users/hannahalse/Desktop/KFHSI/edge/data/Experiment3/day11/scan_01June_10:28:04,mean over y=257:298,central_band_mean,20,0.35,whiteReference,darkReference,685,31.683626271970397,685,0.21524295210838318,0.22621287405490875,0.05232306942343712,684,2.2238588333129883,1.9679855108261108,1.3248509168624878,684,5.094119548797607,4.674196243286133,2.5698671340942383,685,0.8949155211448669,0.9258496165275574,0.09596998989582062,685,1.1062264442443848,1.0868899822235107,0.13180051743984222,684,-0.025736426934599876,-0.02406168170273304,0.019507357850670815
