scan_name,scan_folder,analysis_y_reduction,y_reduction_mode,y_band_half_height,ndvi_mask_threshold,white_reference,dark_reference,mask_pixel_count,mask_coverage_pct,pri_valid_pixel_count,pri_mean,pri_median,pri_std,cri1_valid_pixel_count,cri1_mean,cri1_median,cri1_std,cri2_valid_pixel_count,cri2_mean,cri2_median,cri2_std,ndvi_valid_pixel_count,ndvi_mean,ndvi_median,ndvi_std,sipi_valid_pixel_count,sipi_mean,sipi_median,sipi_std,psri_valid_pixel_count,psri_mean,psri_median,psri_std
scan_22May_14:42:53,/Users/hannahalse/Desktop/KFHSI/edge/data/Experiment3/day1/scan_22May_14:42:53,mean over y=257:298,central_band_mean,20,0.35,whiteReference,darkReference,138,6.382978723404255,138,0.09240392595529556,0.09378662705421448,0.052007272839546204,138,4.694986343383789,4.074345588684082,2.910630941390991,138,5.82492733001709,5.090859413146973,3.5996105670928955,138,0.7662573456764221,0.8126794099807739,0.17230071127414703,138,1.15004563331604,1.0898799896240234,0.26486191153526306,138,-0.017244771122932434,-0.026072880253195763,0.04186238348484039
scan_23May_17:56:23,/Users/hannahalse/Desktop/KFHSI/edge/data/Experiment3/day2/scan_23May_17:56:23,mean over y=257:298,central_band_mean,20,0.35,whiteReference,darkReference,165,7.631822386679001,165,0.12989407777786255,0.14043980836868286,0.04838574677705765,164,2.8254804611206055,2.5616440773010254,1.3495210409164429,164,4.2097320556640625,3.8790359497070312,2.017523765563965,165,0.7805131673812866,0.8372114300727844,0.14404021203517914,165,1.1394397020339966,1.0850518941879272,0.18847863376140594,165,-0.04080585017800331,-0.045743778347969055,0.03216123953461647
scan_24May_17:53:53,/Users/hannahalse/Desktop/KFHSI/edge/data/Experiment3/day3/scan_24May_17:53:53,mean over y=257:298,central_band_mean,20,0.35,whiteReference,darkReference,193,8.926919518963922,193,0.15102671086788177,0.16169734299182892,0.04732482507824898,190,2.5203793048858643,2.367486000061035,1.162440299987793,189,4.223938941955566,4.017196178436279,1.8792415857315063,193,0.8012818694114685,0.8472402691841125,0.1274341493844986,191,1.131388545036316,1.0934412479400635,0.15838021039962769,190,-0.042779941111803055,-0.04244476556777954,0.029814710840582848
scan_25May_12:54:31,/Users/hannahalse/Desktop/KFHSI/edge/data/Experiment3/day4/scan_25May_12:54:31,mean over y=257:298,central_band_mean,20,0.35,whiteReference,darkReference,195,9.019426456984274,195,0.16280221939086914,0.1724230945110321,0.05111759155988693,195,2.7401123046875,2.4297122955322266,1.6069070100784302,195,4.6925530433654785,4.333821773529053,2.669813632965088,195,0.8151403069496155,0.8698050379753113,0.12842173874378204,195,1.1206053495407104,1.0968915224075317,0.1622602939605713,195,-0.036758698523044586,-0.03660368174314499,0.02507980354130268
scan_26May_12:10:12,/Users/hannahalse/Desktop/KFHSI/edge/data/Experiment3/day5/scan_26May_12:10:12,mean over y=257:298,central_band_mean,20,0.35,whiteReference,darkReference,333,15.402405180388529,333,0.13991348445415497,0.15126270055770874,0.04566311091184616,333,2.5042152404785156,2.242591619491577,1.2795674800872803,333,4.020047187805176,3.7052345275878906,1.9452707767486572,333,0.8286654949188232,0.8724381923675537,0.12671561539173126,333,1.166678547859192,1.128756046295166,0.1533515602350235,333,-0.015955250710248947,-0.02207009308040142,0.025652121752500534
scan_27May_11:24:58,/Users/hannahalse/Desktop/KFHSI/edge/data/Experiment3/day6/scan_27May_11:24:58,mean over y=257:298,central_band_mean,20,0.35,whiteReference,darkReference,395,18.270120259019425,395,0.14544762670993805,0.1519538015127182,0.03837653622031212,394,2.319871425628662,2.108613967895508,1.1467294692993164,394,3.815502405166626,3.547128677368164,1.7753618955612183,395,0.8465017080307007,0.8800206780433655,0.10858587920665741,395,1.1578513383865356,1.1320174932479858,0.17051054537296295,395,-0.020247632637619972,-0.022838808596134186,0.021331992000341415
scan_28May_12:07:00,/Users/hannahalse/Desktop/KFHSI/edge/data/Experiment3/day7/scan_28May_12:07:00,mean over y=257:298,central_band_mean,20,0.35,whiteReference,darkReference,408,18.87141535615171,408,0.17462071776390076,0.18539920449256897,0.05455777049064636,407,2.6085009574890137,2.4210355281829834,1.4105147123336792,407,4.471391201019287,4.238832950592041,2.264798402786255,408,0.8351773023605347,0.8892789483070374,0.13697358965873718,408,1.1208382844924927,1.0878300666809082,0.1540362387895584,408,-0.028039099648594856,-0.030087437480688095,0.02696901559829712
scan_29May_12:29:24,/Users/hannahalse/Desktop/KFHSI/edge/data/Experiment3/day8/scan_29May_12:29:24,mean over y=257:298,central_band_mean,20,0.35,whiteReference,darkReference,469,21.692876965772435,469,0.18472769856452942,0.1938062459230423,0.04779352620244026,469,2.4988648891448975,2.2997543811798096,1.1452757120132446,469,4.508380889892578,4.193561553955078,1.927743673324585,469,0.8571500182151794,0.8913275599479675,0.11642330139875412,469,1.1077196598052979,1.0860041379928589,0.14783309400081635,469,-0.031280744820833206,-0.03237304463982582,0.022891903296113014
scan_30May_13:14:59,/Users/hannahalse/Desktop/KFHSI/edge/data/Experiment3/day9/scan_30May_13:14:59,mean over y=257:298,central_band_mean,20,0.35,whiteReference,darkReference,581,26.87326549491212,581,0.19005927443504333,0.19913914799690247,0.05100758746266365,580,2.3927948474884033,2.1897263526916504,1.3946737051010132,579,4.4999284744262695,4.235376834869385,2.1592817306518555,581,0.8657105565071106,0.9055821299552917,0.11012786626815796,580,1.0956357717514038,1.0776599645614624,0.1321428269147873,580,-0.03144051134586334,-0.03147340193390846,0.02320469543337822
scan_31May_10:55:21,/Users/hannahalse/Desktop/KFHSI/edge/data/Experiment3/day10/scan_31May_10:55:21,mean over y=257:298,central_band_mean,20,0.35,whiteReference,darkReference,749,34.64384828862165,749,0.19829364120960236,0.20714449882507324,0.048877738416194916,747,1.835214614868164,1.6233705282211304,1.105907678604126,746,3.9289400577545166,3.5759694576263428,1.9705839157104492,749,0.8662416338920593,0.900450587272644,0.10292186588048935,748,1.1015729904174805,1.088059663772583,0.10613662004470825,745,-0.030452296137809753,-0.029408248141407967,0.020759372040629387
scan_01June_11:26:52,/Users/hannahalse/Desktop/KFHSI/edge/data/Experiment3/day11/scan_01June_11:26:52,mean over y=257:298,central_band_mean,20,0.35,whiteReference,darkReference,801,37.04902867715079,801,0.2174338549375534,0.22458046674728394,0.05288917198777199,801,1.9637227058410645,1.5426137447357178,1.7577935457229614,801,4.435634136199951,3.7371397018432617,3.097028970718384,801,0.8917713165283203,0.9201953411102295,0.09060877561569214,800,1.1102181673049927,1.102763056755066,0.07827653735876083,797,-0.02439306490123272,-0.02294854074716568,0.022242406383156776
scan_03June_13:16:58,/Users/hannahalse/Desktop/KFHSI/edge/data/Experiment3/day13/scan_03June_13:16:58,mean over y=257:298,central_band_mean,20,0.35,whiteReference,darkReference,925,42.78445883441258,925,0.22921425104141235,0.23975881934165955,0.053086087107658386,923,1.493810772895813,1.2451967000961304,1.4088886976242065,924,4.196227073669434,3.65537428855896,2.4987831115722656,925,0.895889401435852,0.9294557571411133,0.10036572068929672,924,1.1105473041534424,1.1029518842697144,0.08266939222812653,912,-0.021098138764500618,-0.018471170216798782,0.024863161146640778
scan_04June_12:47:06,/Users/hannahalse/Desktop/KFHSI/edge/data/Experiment3/day14/scan_04June_12:47:06,mean over y=257:298,central_band_mean,20,0.35,whiteReference,darkReference,1040,48.10360777058279,1040,0.23567305505275726,0.24523600935935974,0.05291885882616043,1039,1.3573905229568481,1.1051180362701416,1.1096221208572388,1039,4.050376892089844,3.5615394115448,2.3045096397399902,1040,0.9013547301292419,0.9332713484764099,0.09740185737609863,1038,1.1121212244033813,1.1095634698867798,0.06901723891496658,1023,-0.018579822033643723,-0.015784556046128273,0.02043989673256874
scan_06June_16:24:55,/Users/hannahalse/Desktop/KFHSI/edge/data/Experiment3/day16/scan_06June_16:24:55,mean over y=257:298,central_band_mean,20,0.35,whiteReference,darkReference,1154,53.37650323774283,1154,0.23695380985736847,0.2506956458091736,0.048512186855077744,1151,0.8035219311714172,0.6499040126800537,1.0518149137496948,1149,3.7493200302124023,3.3476574420928955,1.9873813390731812,1154,0.892565131187439,0.9265551567077637,0.09037239104509354,1149,1.1053227186203003,1.1075959205627441,0.09037219732999802,1134,-0.021004948765039444,-0.01559471432119608,0.025334160774946213
