scan_name,scan_folder,analysis_y_reduction,y_reduction_mode,y_band_half_height,ndvi_mask_threshold,white_reference,dark_reference,mask_pixel_count,mask_coverage_pct,pri_valid_pixel_count,pri_mean,pri_median,pri_std,cri1_valid_pixel_count,cri1_mean,cri1_median,cri1_std,cri2_valid_pixel_count,cri2_mean,cri2_median,cri2_std,ndvi_valid_pixel_count,ndvi_mean,ndvi_median,ndvi_std,sipi_valid_pixel_count,sipi_mean,sipi_median,sipi_std,psri_valid_pixel_count,psri_mean,psri_median,psri_std
scan_22May_12:51:20,/Users/hannahalse/Desktop/KFHSI/edge/data/Experiment3/day1/scan_22May_12:51:20,mean over y=257:298,central_band_mean,20,0.35,whiteReference,darkReference,122,5.642923219241443,122,0.0998578816652298,0.11079378426074982,0.05010861158370972,121,4.24387788772583,3.808318614959717,2.009754180908203,121,5.409725666046143,4.823974132537842,2.6746020317077637,122,0.7744954824447632,0.824537992477417,0.16067185997962952,122,1.114221453666687,1.0915709733963013,0.2595418095588684,122,-0.028418876230716705,-0.031720053404569626,0.03367623686790466
scan_23May_10:24:59,/Users/hannahalse/Desktop/KFHSI/edge/data/Experiment3/day2/scan_23May_10:24:59,mean over y=257:298,central_band_mean,20,0.35,whiteReference,darkReference,144,6.66049953746531,144,0.11091192811727524,0.11741174757480621,0.04274344816803932,143,3.0264248847961426,2.8972041606903076,1.0644984245300293,143,4.2344512939453125,4.039851665496826,1.4781711101531982,144,0.7788426280021667,0.826789140701294,0.1384470909833908,144,1.117049217224121,1.089318037033081,0.16827821731567383,144,-0.03090018779039383,-0.035241372883319855,0.02934507094323635
scan_24May_10:48:19,/Users/hannahalse/Desktop/KFHSI/edge/data/Experiment3/day3/scan_24May_10:48:19,mean over y=257:298,central_band_mean,20,0.35,whiteReference,darkReference,174,8.048103607770583,174,0.12612418830394745,0.13310179114341736,0.04005609452724457,174,2.456408739089966,2.32546067237854,1.0547525882720947,174,3.80928373336792,3.6209845542907715,1.6843396425247192,174,0.7885994911193848,0.8220087289810181,0.13113552331924438,174,1.145018458366394,1.0961759090423584,0.21124976873397827,174,-0.031503766775131226,-0.03286394476890564,0.03078293614089489
scan_25May_10:39:32,/Users/hannahalse/Desktop/KFHSI/edge/data/Experiment3/day4/scan_25May_10:39:32,mean over y=257:298,central_band_mean,20,0.35,whiteReference,darkReference,231,10.684551341350602,231,0.13065899908542633,0.13924948871135712,0.03983912616968155,231,2.449232578277588,2.341538906097412,1.1124579906463623,231,3.9112892150878906,3.794649362564087,1.6579781770706177,231,0.804446816444397,0.8454313278198242,0.12382921576499939,231,1.1514496803283691,1.114737868309021,0.15374808013439178,231,-0.02355772629380226,-0.025379640981554985,0.028421729803085327
scan_26May_10:14:44,/Users/hannahalse/Desktop/KFHSI/edge/data/Experiment3/day5/scan_26May_10:14:44,mean over y=257:298,central_band_mean,20,0.35,whiteReference,darkReference,316,14.616096207215541,316,0.13691815733909607,0.14864888787269592,0.0424075610935688,316,2.5202486515045166,2.3349084854125977,1.255659580230713,315,4.064083099365234,3.8590214252471924,1.858394742012024,316,0.8205365538597107,0.8687703609466553,0.1248847171664238,316,1.1384915113449097,1.1202552318572998,0.15201959013938904,316,-0.021423472091555595,-0.025039847940206528,0.028548261150717735
scan_27May_09:39:26,/Users/hannahalse/Desktop/KFHSI/edge/data/Experiment3/day6/scan_27May_09:39:26,mean over y=257:298,central_band_mean,20,0.35,whiteReference,darkReference,299,13.829787234042554,299,0.1745658814907074,0.1860910952091217,0.0497039370238781,299,2.856611967086792,2.5829830169677734,1.4179739952087402,299,4.752340316772461,4.4623188972473145,2.2429447174072266,299,0.843300461769104,0.891484797000885,0.13201625645160675,299,1.1383391618728638,1.102095603942871,0.19593553245067596,299,-0.030380530282855034,-0.031228573992848396,0.02865801379084587
scan_28May_10:16:38,/Users/hannahalse/Desktop/KFHSI/edge/data/Experiment3/day7/scan_28May_10:16:38,mean over y=257:298,central_band_mean,20,0.35,whiteReference,darkReference,532,24.606845513413507,532,0.1499846875667572,0.15565072000026703,0.03671497851610184,532,2.5845019817352295,2.308973789215088,1.4238431453704834,532,4.264430046081543,3.8171424865722656,2.201911687850952,532,0.8591728806495667,0.8952665328979492,0.10477787256240845,532,1.1264982223510742,1.1101146936416626,0.1175880953669548,532,-0.02179069072008133,-0.02273491397500038,0.02427826076745987
scan_29May_10:21:45,/Users/hannahalse/Desktop/KFHSI/edge/data/Experiment3/day8/scan_29May_10:21:45,mean over y=257:298,central_band_mean,20,0.35,whiteReference,darkReference,664,30.712303422756708,664,0.15741461515426636,0.16419121623039246,0.0351453572511673,664,2.312319755554199,2.122555732727051,1.153337001800537,664,4.020704746246338,3.7295403480529785,1.9112406969070435,664,0.871091902256012,0.902912974357605,0.09137963503599167,664,1.121065616607666,1.1105793714523315,0.08823013305664062,664,-0.023173291236162186,-0.022473709657788277,0.01860031485557556
scan_30May_11:22:12,/Users/hannahalse/Desktop/KFHSI/edge/data/Experiment3/day9/scan_30May_11:22:12,mean over y=257:298,central_band_mean,20,0.35,whiteReference,darkReference,815,37.69657724329325,815,0.1631041318178177,0.16872338950634003,0.035722680389881134,815,2.0608999729156494,1.832642912864685,1.130903959274292,815,3.7390007972717285,3.3565502166748047,1.9971973896026611,815,0.8726141452789307,0.9039005041122437,0.09340280294418335,815,1.1052082777023315,1.1019738912582397,0.06655099242925644,812,-0.02829677425324917,-0.026691893115639687,0.020792929455637932
scan_31May_08:58:55,/Users/hannahalse/Desktop/KFHSI/edge/data/Experiment3/day10/scan_31May_08:58:55,mean over y=257:298,central_band_mean,20,0.35,whiteReference,darkReference,953,44.079555966697505,953,0.16658565402030945,0.17133620381355286,0.039347920566797256,952,2.113158702850342,1.8400578498840332,1.2537668943405151,952,3.940727472305298,3.5027575492858887,2.1465985774993896,953,0.8812972903251648,0.909064531326294,0.08880825340747833,951,1.113343596458435,1.1119928359985352,0.10334202647209167,950,-0.02419954724609852,-0.02265162020921707,0.020565107464790344
scan_01June_09:29:57,/Users/hannahalse/Desktop/KFHSI/edge/data/Experiment3/day11/scan_01June_09:29:57,mean over y=257:298,central_band_mean,20,0.35,whiteReference,darkReference,1141,52.775208140610545,1141,0.17987051606178284,0.18428106606006622,0.037866730242967606,1141,1.6593899726867676,1.4048678874969482,1.0483527183532715,1141,3.6169042587280273,3.1451542377471924,2.3160581588745117,1141,0.8885078430175781,0.9136226177215576,0.081767737865448,1141,1.1288923025131226,1.1272798776626587,0.0636768639087677,1141,-0.02205515280365944,-0.021136261522769928,0.023165855556726456
