scan_name,scan_folder,analysis_y_reduction,y_reduction_mode,y_band_half_height,ndvi_mask_threshold,white_reference,dark_reference,mask_pixel_count,mask_coverage_pct,pri_valid_pixel_count,pri_mean,pri_median,pri_std,cri1_valid_pixel_count,cri1_mean,cri1_median,cri1_std,cri2_valid_pixel_count,cri2_mean,cri2_median,cri2_std,ndvi_valid_pixel_count,ndvi_mean,ndvi_median,ndvi_std,sipi_valid_pixel_count,sipi_mean,sipi_median,sipi_std,psri_valid_pixel_count,psri_mean,psri_median,psri_std
scan_27April_17:55:28,/Users/hannahalse/Desktop/KFHSI/edge/data/Experiment1/scan_27April_17:55:28,mean over y=257:298,central_band_mean,20,0.35,whiteReference,darkReference,711,32.88621646623497,711,0.02883838675916195,0.03409777954220772,0.023849057033658028,711,15.945966720581055,16.446535110473633,8.335354804992676,711,15.534355163574219,16.014001846313477,8.109670639038086,711,0.8443841934204102,0.9141941666603088,0.1585332453250885,711,1.0680433511734009,1.000778079032898,0.19332410395145416,711,0.0075217983685433865,0.00031891794060356915,0.02567291632294655
scan_28April_14:13:25,/Users/hannahalse/Desktop/KFHSI/edge/data/Experiment1/scan_28April_14:13:25,mean over y=257:298,central_band_mean,20,0.35,whiteReference,darkReference,787,36.401480111008325,787,0.030778853222727776,0.033489253371953964,0.02015843614935875,786,16.722164154052734,17.38780975341797,8.072216987609863,786,16.276870727539062,16.90123748779297,7.833006858825684,787,0.8669548630714417,0.9255462288856506,0.14048831164836884,787,1.04983651638031,0.9969189167022705,0.1811119019985199,787,0.0042187911458313465,-0.0008584653260186315,0.021453512832522392
scan_29April_13:00:22,/Users/hannahalse/Desktop/KFHSI/edge/data/Experiment1/scan_29April_13:00:22,mean over y=257:298,central_band_mean,20,0.35,whiteReference,darkReference,1147,53.0527289546716,1147,0.03380526974797249,0.037781838327646255,0.021673021838068962,1142,17.05472183227539,17.425933837890625,8.500920295715332,1142,16.592632293701172,16.93011474609375,8.227696418762207,1147,0.8762759566307068,0.9315776824951172,0.13712257146835327,1147,1.0433340072631836,0.9956109523773193,0.13866809010505676,1147,0.0040231384336948395,-0.0020571015775203705,0.023403674364089966
scan_30April_11:26:57,/Users/hannahalse/Desktop/KFHSI/edge/data/Experiment1/scan_30April_11:26:57,mean over y=257:298,central_band_mean,20,0.35,whiteReference,darkReference,1603,74.14431082331174,1603,0.034622400999069214,0.03783291578292847,0.02378239296376705,1595,18.611888885498047,19.200057983398438,8.717348098754883,1595,17.991905212402344,18.423423767089844,8.405659675598145,1603,0.9010904431343079,0.9447205066680908,0.11650136858224869,1603,1.019077181816101,0.9905780553817749,0.09154404699802399,1603,0.0017881864914670587,-0.003459078958258033,0.020740864798426628
