scan_name,scan_folder,analysis_y_reduction,y_reduction_mode,y_band_half_height,ndvi_mask_threshold,white_reference,dark_reference,mask_pixel_count,mask_coverage_pct,pri_valid_pixel_count,pri_mean,pri_median,pri_std,cri1_valid_pixel_count,cri1_mean,cri1_median,cri1_std,cri2_valid_pixel_count,cri2_mean,cri2_median,cri2_std,ndvi_valid_pixel_count,ndvi_mean,ndvi_median,ndvi_std,sipi_valid_pixel_count,sipi_mean,sipi_median,sipi_std,psri_valid_pixel_count,psri_mean,psri_median,psri_std
scan_27April_16:52:45,/Users/hannahalse/Desktop/KFHSI/edge/data/Experiment1/scan_27April_16:52:45,mean over y=257:298,central_band_mean,20,0.35,whiteReference,darkReference,954,44.12580943570768,953,0.019665000960230827,0.023859549313783646,0.02398349903523922,949,13.121378898620605,12.604884147644043,6.877721309661865,949,12.611543655395508,11.923076629638672,6.640613079071045,954,0.8412964344024658,0.9002366065979004,0.14552563428878784,953,1.0530325174331665,1.007464051246643,0.15030217170715332,953,0.007298535201698542,0.0007386885117739439,0.027013517916202545
scan_28April_13:13:09,/Users/hannahalse/Desktop/KFHSI/edge/data/Experiment1/scan_28April_13:13:09,mean over y=257:298,central_band_mean,20,0.35,whiteReference,darkReference,1236,57.16928769657724,1236,0.024886202067136765,0.02757064253091812,0.01811845973134041,1236,14.622661590576172,14.334896087646484,7.296045303344727,1236,14.182405471801758,13.903804779052734,7.05665397644043,1236,0.8688235878944397,0.9168770909309387,0.12663741409778595,1236,1.0375405550003052,1.001957893371582,0.10311631858348846,1236,0.005638738162815571,0.0008252495317719877,0.02015683613717556
scan_29April_12:09:10,/Users/hannahalse/Desktop/KFHSI/edge/data/Experiment1/scan_29April_12:09:10,mean over y=257:298,central_band_mean,20,0.35,whiteReference,darkReference,1417,65.54116558741906,1417,0.02468731999397278,0.026544474065303802,0.018646538257598877,1414,15.704941749572754,15.31191635131836,7.992446422576904,1414,15.167595863342285,14.868532180786133,7.6907548904418945,1417,0.8835673928260803,0.9265896677970886,0.12115275859832764,1417,1.0274114608764648,1.0000730752944946,0.08541311323642731,1417,0.003139721928164363,-0.0008208490908145905,0.02085278555750847
scan_30April_10:35:05,/Users/hannahalse/Desktop/KFHSI/edge/data/Experiment1/scan_30April_10:35:05,mean over y=257:298,central_band_mean,20,0.35,whiteReference,darkReference,1641,75.90194264569843,1640,0.027232779189944267,0.028784271329641342,0.018885063007473946,1636,17.223331451416016,17.236934661865234,8.036317825317383,1636,16.586816787719727,16.562145233154297,7.737541198730469,1641,0.9001132249832153,0.9379175901412964,0.11329259723424911,1641,1.0152435302734375,0.9935849905014038,0.07349776476621628,1641,0.0007411999395117164,-0.002492972183972597,0.01901378482580185
